Date 27.05.23, Time 21:48:53, Uptime:  21:48:53 up  1:44,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 8.8%
Date 27.05.23, Time 21:49:53, Uptime:  21:49:53 up  1:45,  4 users,  load average: 0.08, 0.03, 0.01, Load average:  0.08, 0.03, 0.01, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 6.4%
Date 27.05.23, Time 21:50:54, Uptime:  21:50:53 up  1:46,  4 users,  load average: 0.03, 0.02, 0.00, Load average:  0.03, 0.02, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.2%
Date 27.05.23, Time 21:51:54, Uptime:  21:51:54 up  1:47,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.2%
Date 27.05.23, Time 21:52:54, Uptime:  21:52:54 up  1:48,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 4.2%
Date 27.05.23, Time 21:53:54, Uptime:  21:53:54 up  1:49,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:54:55, Uptime:  21:54:55 up  1:50,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 52.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:55:55, Uptime:  21:55:55 up  1:51,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.5%
Date 27.05.23, Time 21:56:55, Uptime:  21:56:55 up  1:52,  4 users,  load average: 0.06, 0.01, 0.00, Load average:  0.06, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:57:56, Uptime:  21:57:56 up  1:53,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 51.6°C, CPU_load: 5.4%
